Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
ai,0.0096555,-0.14212,-0.038542,0,0,0,5.5457,0.028923,-0.00050649,7.6006E-06,0.046711,0.00014985,0.022605,0,0,0,0,0,0,package://URDF/meshes/ai.STL,1,1,1,1,0,0,0,0,0,0,package://URDF/meshes/ai.STL,,a1-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
aia1,0.0122165500894778,0.0631182438776054,-0.00692252450444186,0,0,0,3.50978575560884,0.0107160246499877,-0.000359621582143605,4.07016624714828E-05,0.0124005795141034,-1.524781901073E-06,0.012386384323181,0,0,0,0,0,0,package://URDF/meshes/aia1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://URDF/meshes/aia1.STL,,a2-1,Origin_ia1,Axis_ia1,ia1,continuous,-0.0079361,0.014041,-0.00022442,1.6815,-0.028271,0,ai,0,0.99387,-0.11052,0,0,0,0,,,,,,,,
aia2,0.00275148999525586,0.0904963085395856,0.0206857738259683,0,0,0,11.5092978911004,0.0488817529527658,0.000298183073814911,3.87850448289944E-07,0.0789799485369125,-0.00122753004573844,0.111894811595064,0,0,0,0,0,0,package://URDF/meshes/aia2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://URDF/meshes/aia2.STL,,a3-1,Origin_ia2,Axis_ia2,ia2,fixed,2.93308576122722E-05,0.188056300534155,-0.0208868045568571,-0.110744460506445,0,0,aia1,0,0,1,0,0,0,0,,,,,,,,
air1,-0.0867882598030639,0.0501262855873437,-0.00496010592416558,0,0,0,0.704319744476176,0.00102192742218782,5.18316851700758E-05,-0.000164786809473083,0.00108196027992708,9.54818424027483E-05,0.00117996029784948,0,0,0,0,0,0,package://URDF/meshes/air1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://URDF/meshes/air1.STL,,r1-1,Origin_ir1,Axis_ir1,ir1,continuous,0.0971134252482515,0.153771425983859,0,-3.14159265358979,0,3.14159265358978,aia2,0.866025403784438,-0.5,0,0,0,0,0,,,,,,,,
air2,-0.0221091585052234,-0.00947394911243532,-0.0713325927305242,0,0,0,2.16696749170869,0.00235923373053802,-0.000466751355116642,0.00042805486522134,0.00351160698856537,0.000286782243418935,0.00405898161391467,0,0,0,0,0,0,package://URDF/meshes/air2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://URDF/meshes/air2.STL,,r2-1,Origin_ir2,Axis_ir2,ir2,continuous,-0.103808135150164,0.0599336547730216,-0.00199999999999997,0,0,0.523598775598286,air1,0,0,1,0,0,0,0,,,,,,,,
air3,-0.310723078744321,0.133593457504276,-0.0460271418084565,0,0,0,2.43210030597648,0.00318621353488848,-0.000704673937050692,-1.48997132472017E-06,0.00497330748293435,-4.62910674210498E-08,0.00480738048481119,0,0,0,0,0,0,package://URDF/meshes/air3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://URDF/meshes/air3.STL,,r3-1,Origin_ir3,Axis_ir3,ir3,fixed,-0.115052758244909,-0.0312772228311444,0.274355715851498,-1.5707963267949,-1.0471975511966,1.0471975511966,air2,-0.866025403784439,0.5,0,0,0,0,0,,,,,,,,
air4,-0.306811586113211,0.0543922506429295,-0.0459893323925083,0,0,0,1.60575264215698,0.00171417926629064,-0.000427404427054719,2.88573008654781E-07,0.00195481134290395,1.86832341871254E-07,0.00186489394892792,0,0,0,0,0,0,package://URDF/meshes/air4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://URDF/meshes/air4.STL,,r4-1,Origin_ir4,Axis_ir4,ir4,fixed,0,0,0,0,0,0,air3,0.866025403784439,-0.5,0,0,0,0,0,,,,,,,,
air5,-0.400491002863523,-0.0149195507388673,-0.0460243732362791,0,0,0,2.43210030636316,0.00318561159001296,-0.000704701925284907,-1.68124491102077E-06,0.00497354044938666,3.72017684928891E-08,0.00480774946362265,0,0,0,0,0,0,package://URDF/meshes/air5.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://URDF/meshes/air5.STL,,r5-1,Origin_ir5,Axis_ir5,ir5,fixed,0,0,0,0,0,0,air4,-0.866025403784439,0.5,0,0,0,0,0,,,,,,,,
air6,-0.396341248975106,-0.0942717174606415,-0.0460104212942954,0,0,0,1.60575264215694,0.00171398866333832,-0.000427509349226874,5.8493043760927E-09,0.00195501969069459,3.26534102097182E-07,0.00186487620408945,0,0,0,0,0,0,package://URDF/meshes/air6.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://URDF/meshes/air6.STL,,r6-1,Origin_ir6,Axis_ir6,ir6,fixed,0,0,0,0,0,0,air5,0.866025403784439,-0.5,0,0,0,0,0,,,,,,,,
air7,-0.0728097455352885,-0.1261240051641,1.70512777112886E-05,0,0,0,2.39752294354751,0.0012687393901073,0.000168151144527475,-3.04642830826539E-07,0.001463313975307,2.54712948479235E-07,0.00117306166024798,0,0,0,0,0,0,package://URDF/meshes/air7.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://URDF/meshes/air7.STL,,r7-1,Origin_ir7,Axis_ir7,ir7,continuous,-0.42328075115025,-0.0824323351551474,-0.0460000000000423,-1.64545323690127,-1.04598885548756,1.1118372926814,air6,0.499999999999995,0.866025403784442,0,0,0,0,0,,,,,,,,
air8,-0.0256124603916125,-0.0439679593331598,-9.86050862532076E-05,0,0,0,0.39028900516816,0.00011213379731787,3.06765443482523E-05,2.44292075121941E-07,0.000147872106153398,-2.20108758996571E-07,9.42772763134408E-05,0,0,0,0,0,0,package://URDF/meshes/air8.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://URDF/meshes/air8.STL,,r8-1,Origin_ir8,Axis_ir8,ir8,continuous,-0.0495231049974948,-0.085776534004209,0,0.0186968020728057,0.0323706130972615,0.000302648714584661,air7,0.499999999999999,0.866025403784439,0,0,0,0,0,,,,,,,,
ail1,0.0314996586787025,0.018110986495873,-0.00495965585467567,0,0,0,0.704317483213798,0.00102054589410166,-5.10348006602906E-05,0.000164763374924484,0.00108334133408607,9.55071581716024E-05,0.00117995821420813,0,0,0,0,0,0,package://URDF/meshes/ail1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://URDF/meshes/ail1.STL,,l1-1,Origin_il1,Axis_il1,il1,continuous,-0.152442926705883,0.185715928544454,0,-3.13362768307923,-0.00459849683182837,3.14157434001486,aia2,0.866025403784445,0.499999999999989,0,0,0,0,0,,,,,,,,
ail2,0.0254230133562362,-0.00487000210777616,-0.0731799326032108,0,0,0,2.16696451297082,0.00236378749188235,0.000462102165751906,-0.000439308791472968,0.00351556883965291,0.000293029666338872,0.00405037989081645,0,0,0,0,0,0,package://URDF/meshes/ail2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://URDF/meshes/ail2.STL,,l2-1,Origin_il2,Axis_il2,il2,continuous,0.0433012701892223,0.0249999999999994,0,0.00336630175696954,-0.00336635386910309,-0.52358329515933,ail1,0.00459848062507821,-0.00796480208025818,-0.999957707057535,0,0,0,0,,,,,,,,
